Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic_Regression,0.845992260917634,0.9046502153179784,0.7315875613747954,0.5981266726137378,0.658159509202454,0.5647863428769241
Decision_Tree,0.8059701492537313,0.747334144313464,0.6039265898420828,0.6311329170383586,0.6172300981461287,0.4875749161750143
KNN,0.8248756218905473,0.8520305034130532,0.6656596173212488,0.5896520963425513,0.6253547776726585,0.5132327767390756
Naive_Bayes,0.6447761194029851,0.8506829384580425,0.4046356315065802,0.9188224799286352,0.5618437201690986,0.4119739440644971
Random_Forest,0.8455500276395799,0.9004252203893361,0.7217847769028871,0.6132917038358608,0.6631299734748011,0.5669406016863482
XGBoost,0.8657822001105583,0.924871098349196,0.7677083333333333,0.6574487065120428,0.7083133109082173,0.6249791790290194
